category,date,amount
Russia,1957,  2
Russia,1958,  5
Russia,1959,  4
Russia,1960,  9
Russia,1961,  9
Russia,1962, 22
Russia,1963, 24
Russia,1964, 36
Russia,1965, 53
Russia,1966, 51
Russia,1967, 74
Russia,1968, 79
Russia,1969, 82
Russia,1970, 87
Russia,1971, 92
Russia,1972, 79
Russia,1973, 90
Russia,1974, 85
Russia,1975, 93
Russia,1976,100
Russia,1977,102
Russia,1978, 91
Russia,1979, 89
Russia,1980, 90
Russia,1981,100
Russia,1982,108
Russia,1983,100
Russia,1984, 97
Russia,1985,100
Russia,1986, 94
Russia,1987, 97
Russia,1988, 94
Russia,1989, 75
Russia,1990, 79
Russia,1991, 61
Russia,1992, 55
Russia,1993, 48
Russia,1994, 49
Russia,1995, 33
Russia,1996, 27
Russia,1997, 30
Russia,1998, 25
Russia,1999, 30
Russia,2000, 39
Russia,2001, 25
Russia,2002, 26
Russia,2003, 24
Russia,2004, 26
Russia,2005, 30
Russia,2006, 30
Russia,2007, 27
Russia,2008, 32
Russia,2009, 33
Russia,2010, 31
Russia,2011, 33
Russia,2012, 27
Russia,2013, 33
Russia,2014, 33
Russia,2015, 26
Russia,2016, 17
Russia,2017, 19
Russia,2018, 17
Russia,2019, 22
Russia,2020, 15
Russia,2021, 24
Russia,2022, 21
Russia,2023, 20
Russia,2024, 17
Russia,2025, 17
United States,1957,  1
United States,1958, 23
United States,1959, 20
United States,1960, 29
United States,1961, 41
United States,1962, 59
United States,1963, 46
United States,1964, 65
United States,1965, 72
United States,1966, 78
United States,1967, 63
United States,1968, 48
United States,1969, 41
United States,1970, 29
United States,1971, 33
United States,1972, 32
United States,1973, 25
United States,1974, 23
United States,1975, 30
United States,1976, 27
United States,1977, 26
United States,1978, 33
United States,1979, 16
United States,1980, 15
United States,1981, 19
United States,1982, 18
United States,1983, 22
United States,1984, 22
United States,1985, 18
United States,1986,  9
United States,1987,  9
United States,1988, 11
United States,1989, 18
United States,1990, 27
United States,1991, 19
United States,1992, 29
United States,1993, 25
United States,1994, 27
United States,1995, 30
United States,1996, 33
United States,1997, 38
United States,1998, 36
United States,1999, 31
United States,2000, 28
United States,2001, 22
United States,2002, 17
United States,2003, 23
United States,2004, 16
United States,2005, 12
United States,2006, 18
United States,2007, 19
United States,2008, 15
United States,2009, 24
United States,2010, 15
United States,2011, 18
United States,2012, 13
United States,2013, 19
United States,2014, 23
United States,2015, 20
United States,2016, 22
United States,2017, 30
United States,2018, 34
United States,2019, 27
United States,2020, 44
United States,2021, 51
United States,2022, 87
United States,2023,114
United States,2024,154
United States,2025,193
China,1957,  0
China,1958,  0
China,1959,  0
China,1960,  0
China,1961,  0
China,1962,  0
China,1963,  0
China,1964,  0
China,1965,  0
China,1966,  0
China,1967,  0
China,1968,  0
China,1969,  1
China,1970,  1
China,1971,  1
China,1972,  0
China,1973,  1
China,1974,  2
China,1975,  3
China,1976,  3
China,1977,  0
China,1978,  1
China,1979,  1
China,1980,  0
China,1981,  1
China,1982,  1
China,1983,  1
China,1984,  3
China,1985,  1
China,1986,  2
China,1987,  2
China,1988,  4
China,1989,  0
China,1990,  5
China,1991,  1
China,1992,  4
China,1993,  1
China,1994,  5
China,1995,  3
China,1996,  4
China,1997,  6
China,1998,  6
China,1999,  4
China,2000,  5
China,2001,  1
China,2002,  5
China,2003,  7
China,2004,  8
China,2005,  5
China,2006,  6
China,2007, 10
China,2008, 11
China,2009,  6
China,2010, 15
China,2011, 19
China,2012, 19
China,2013, 15
China,2014, 17
China,2015, 19
China,2016, 22
China,2017, 18
China,2018, 39
China,2019, 34
China,2020, 39
China,2021, 55
China,2022, 64
China,2023, 67
China,2024, 68
China,2025, 93
Europe,1957,  0
Europe,1958,  0
Europe,1959,  0
Europe,1960,  0
Europe,1961,  0
Europe,1962,  0
Europe,1963,  0
Europe,1964,  0
Europe,1965,  0
Europe,1966,  0
Europe,1967,  0
Europe,1968,  1
Europe,1969,  1
Europe,1970,  3
Europe,1971,  3
Europe,1972,  0
Europe,1973,  1
Europe,1974,  0
Europe,1975,  3
Europe,1976,  0
Europe,1977,  0
Europe,1978,  0
Europe,1979,  1
Europe,1980,  1
Europe,1981,  2
Europe,1982,  1
Europe,1983,  2
Europe,1984,  4
Europe,1985,  4
Europe,1986,  3
Europe,1987,  2
Europe,1988,  7
Europe,1989,  7
Europe,1990,  6
Europe,1991,  8
Europe,1992,  7
Europe,1993,  7
Europe,1994,  8
Europe,1995, 11
Europe,1996, 11
Europe,1997, 12
Europe,1998, 11
Europe,1999, 10
Europe,2000, 12
Europe,2001,  8
Europe,2002, 12
Europe,2003,  4
Europe,2004,  3
Europe,2005,  5
Europe,2006,  5
Europe,2007,  6
Europe,2008,  6
Europe,2009,  7
Europe,2010,  6
Europe,2011,  7
Europe,2012, 10
Europe,2013,  7
Europe,2014, 11
Europe,2015, 11
Europe,2016, 11
Europe,2017, 11
Europe,2018, 11
Europe,2019,  9
Europe,2020,  7
Europe,2021,  7
Europe,2022,  6
Europe,2023,  3
Europe,2024,  3
Europe,2025,  7
Other,1957,  0
Other,1958,  0
Other,1959,  0
Other,1960,  0
Other,1961,  0
Other,1962,  0
Other,1963,  0
Other,1964,  0
Other,1965,  1
Other,1966,  3
Other,1967,  4
Other,1968,  0
Other,1969,  1
Other,1970,  4
Other,1971,  5
Other,1972,  2
Other,1973,  0
Other,1974,  3
Other,1975,  3
Other,1976,  2
Other,1977,  2
Other,1978,  3
Other,1979,  3
Other,1980,  3
Other,1981,  4
Other,1982,  1
Other,1983,  4
Other,1984,  3
Other,1985,  2
Other,1986,  2
Other,1987,  4
Other,1988,  5
Other,1989,  2
Other,1990,  4
Other,1991,  2
Other,1992,  2
Other,1993,  2
Other,1994,  4
Other,1995,  3
Other,1996,  2
Other,1997,  4
Other,1998,  4
Other,1999,  3
Other,2000,  1
Other,2001,  3
Other,2002,  5
Other,2003,  5
Other,2004,  2
Other,2005,  3
Other,2006,  8
Other,2007,  6
Other,2008,  5
Other,2009,  8
Other,2010,  7
Other,2011,  7
Other,2012,  9
Other,2013,  7
Other,2014,  9
Other,2015, 10
Other,2016, 13
Other,2017, 13
Other,2018, 13
Other,2019, 10
Other,2020,  9
Other,2021,  8
Other,2022,  8
Other,2023, 18
Other,2024, 17
Other,2025, 14
